Bedroom,Den,Address,Price
1,0,"560 Front St W, Toronto, ON M5V 1C1, Canada",850
1,0,"101 Peter St, Toronto, ON M5V 0G6, Canada",1600
1,0,"154 Bathurst, Toronto M5V 2R3 ON",1800
1,0,"21 Grand Magazine St, Toronto, ON M5V 1B5, Canada",1800
1,0,"290 Adelaide Street West, Toronto, ON, M5V 1P6",1850
1,0,"87 PETER ST, M5V0P1, TORONTO, ON",1850
1,0,"25 Telegram Mews, Toronto, ON, M5V 3Z2",1900
1,0,"250 Fort York Blvd, Toronto, ON M5V 3K9, Canada",1900
1,0,"4 K Spadina Ave, Toronto, ON M5V 3Z9, Canada",1900
1,0,"600 Queens Quay W, Toronto, ON M5V 3M3, Canada",1900
1,0,"629 King St W, Toronto, ON M5V 0G9, Canada",1900
1,0,"8 Mercer St, Toronto, ON M5V 0C4, Canada",1900
1,0,"Downtown, Toronto M5V1K1 ON, Canada",1900
1,0,"87 Peter Street, Toronto, ON, M5V 0P1",2100
1,0,"99 Stadium Rd, Toronto, ON M5V 2Z7, Canada",2100
1,0,"170 Fort York Blvd, Toronto, ON M5V 0E6, Canada",2150
1,1,"361 Front St W, Toronto, ON M5V 3R5, Canada",2150
1,0,"87 Peter St, Toronto, ON M5V 2G4, Canada",2150
1,0,"10 Capreol Ct, Toronto, ON M5V 4B3, Canada",2200
1,0,"126 Simcoe St, Toronto, ON M5V 0H5, Canada",2200
1,0,"30 Nelson St, Toronto, ON M5V 0H5, Canada",2200
1,0,"5 Mariner Terrace, Toronto, ON M5V 3V6, Canada",2200
1,0,"628 Fleet St, Toronto, ON M5V 1A8, Canada",2200
1,0,"87 Peter St, Toronto, ON M5V 0P1, Canada",2200
1,0,"Bathurst Tower, 95 Bathurst St, Toronto, ON M5V 2P9, Canada",2200
1,0,"21 Nelson St, Toronto, ON M5V 3H9, Canada",2250
1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",2299
1,0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",2300
1,1,"81 Navy Wharf Ct, Toronto, ON M5V 3S2, Canada",2300
1,1,"87 Peter St, Toronto, ON M5V 0P1, Canada",2300
1,0,"126 Simcoe St, Toronto, ON M5V 0H5, Canada",2350
1,1,"295 Adelaide St W, Toronto, ON M5V 0L4, Canada",2350
1,0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",3150
2,0,"375 King St W, Toronto, ON M5V 1K1, Canada",1900
2,0,"608 Richmond St W, Toronto, ON M5V 1Y9, Canada",2150
2,0,"Brant St, Toronto, ON M5V, Canada",2175
2,1,"25 Telegram Mews, Toronto, ON M5V 3Z1, Canada",2200
2,0,"480 King St W, Toronto, ON M5V 1L7, Canada",2200
2,1,"70 Queens Wharf Rd, Toronto, ON M5V 0E4, Canada",2300
2,0,"290 Adelaide St W, Toronto, ON M5V 1P6, Canada",2350
2,0,"87 Peter St, Toronto, ON M5V 0P1, Canada",2500
2,0,"Downtown, Toronto M5V1K1 ON, Canada",2500
2,0,"600 Fleet St, Toronto, ON M5V 1B7, Canada",2600
2,0,"215 Fort York Blvd, Toronto, ON M5V 4A2, Canada",2800
2,0,"625 King St W, Toronto, ON M5V 1M5, Canada",2800
2,0,"435 Richmond St W, Toronto, ON M5V 1X9, Canada",2850
2,0,"8 Mercer St, Toronto, ON M5V 0C4, Canada",3050
2,0,"20 Bruyeres Mews, Toronto, ON M5V 0G8, Canada",3100
2,0,"8 Mercer Street, M5V0C4, Toronto, ON",3100
2,0,"8 Telegram Mews, Toronto, ON M5V 3Z5, Canada",3130
2,0,"75 Queens Wharf Rd, Toronto, ON M5V 0J8, Canada",3200
2,0,"75 Queens Wharf Rd, Toronto, ON M5V 0J8, Canada",3200
2,0,"85 Queens Wharf road, M5V0J9, Toronto, ON",3200
2,0,"Front St W, Toronto, ON M5V 3S8, Canada",3200
2,0,"Front St W, Toronto, ON M5V 3S8, Canada",3200
2,0,"90 Stadium Rd, Toronto, ON M5V 3W5, Canada",3300
2,0,"20 Bruyeres Mews, Toronto, ON M5V 0G8, Canada",3500
2,0,"399 Adelaide St W, Toronto, ON M5V 1S1, Canada",3950
2,0,"21 Nelson St, Toronto, ON M5V 3H9, Canada",4000
2,0,"21 Nelson St, Toronto, ON M5V 3H9, Canada",4050
2,0,"21 Nelson St, Toronto, ON M5V 3H9, Canada",4100
2,0,"30 Nelson St, Toronto, ON M5V 0H5, Canada",4500
3,0,"560 Front St W, toronto, ON, M5V 0L5",1900
3,1,"21 Iceboat Terr, Toronto, ON M5V 4A9, Canada",2150
3,0,"350 Wellington St W, Toronto, ON M5V 3W9, Canada",2300
3,0,"352 Front St W, Toronto, ON, M5V 1B5",2300
3,1,"15 Iceboat Terr, Toronto, ON M5V 4A5, Canada",2350
3,0,"85 Queens Wharf Rd, Toronto, ON M5V 0J9, Canada",3500
3,0,"397 Front St W, Toronto, ON M5V 3S1, Canada",4900
3,0,"21 Widmer St, Toronto, ON M5V 0B8, Canada",8000
